,LocID,Location,PopTotal
70,4,Afghanistan,38928.341
954,903,Africa,1340598.113
1838,1823,African Group,1338826.591
1989,1560,African Union,1339423.921
2140,2080,African Union: Central Africa,158619.638
2291,2081,African Union: Eastern Africa,392563.672
2442,2082,African Union: Northern Africa,207032.899
2593,2083,African Union: Southern Africa,184002.188
2744,2084,African Union: Western Africa,397205.524
2895,1200,"African, Caribbean and Pacific (ACP) Group of States",1179679.906
3046,8,Albania,2877.8
3930,12,Algeria,43851.043
4814,16,American Samoa,55.197
5698,1533,Andean Community,113170.819
5849,20,Andorra,77.265
6733,24,Angola,32866.268
7617,660,Anguilla,15.002
8501,28,Antigua and Barbuda,97.928
9385,32,Argentina,45195.777
10269,51,Armenia,2963.234
11153,533,Aruba,106.766
12037,935,Asia,4641054.786
12921,1207,Asia-Pacific Economic Cooperation (APEC),2972249.482
13072,1824,Asia-Pacific Group,4621682.23
13223,1557,Association of Southeast Asian Nations (ASEAN),667301.412
13374,36,Australia,25499.881
14258,927,Australia/New Zealand,30322.114
15142,40,Austria,9006.4
16026,31,Azerbaijan,10139.175
16910,1525,BRIC,3177822.028
17061,1526,BRICS,3237130.718
17212,44,Bahamas,393.248
18096,48,Bahrain,1701.583
18980,50,Bangladesh,164689.383
19864,52,Barbados,287.371
20748,112,Belarus,9449.321
21632,56,Belgium,11589.616
22516,84,Belize,397.621
23400,2067,Belt-Road Initiative (BRI),3403061.795
23551,2068,Belt-Road Initiative: Africa,1192659.576
23702,2069,Belt-Road Initiative: Asia,1572525.725
23853,2070,Belt-Road Initiative: Europe,413895.375
24004,2071,Belt-Road Initiative: Latin America and the Caribbean,208569.955
24155,2072,Belt-Road Initiative: Pacific,15411.164
24306,204,Benin,12123.198
25190,60,Bermuda,62.273
26074,64,Bhutan,771.612
26958,1527,Black Sea Economic Cooperation (BSEC),343357.186
27109,1569,Bolivarian Alliance for the Americas (ALBA),58690.348
27260,68,Bolivia (Plurinational State of),11673.029
28144,535,"Bonaire, Sint Eustatius and Saba",26.221
29028,70,Bosnia and Herzegovina,3280.815
29912,72,Botswana,2351.625
30796,76,Brazil,212559.409
31680,92,British Virgin Islands,30.237
32564,96,Brunei Darussalam,437.483
33448,100,Bulgaria,6948.445
34332,854,Burkina Faso,20903.278
35216,108,Burundi,11890.781
36100,132,Cabo Verde,555.988
36984,116,Cambodia,16718.971
37868,120,Cameroon,26545.864
38752,124,Canada,37742.157
39636,915,Caribbean,43532.374
40520,1530,Caribbean Community and Common Market (CARICOM),18849.823
40671,136,Cayman Islands,65.72
41555,140,Central African Republic,4829.764
42439,916,Central America,179670.186
43323,5500,Central Asia,74338.926
44207,1545,Central European Free Trade Agreement (CEFTA),25746.658
44358,921,Central and Southern Asia,2014708.531
45242,148,Chad,16425.859
46126,830,Channel Islands,173.859
47010,152,Chile,19116.209
47894,156,China,1439323.774
48778,1105,China (and dependencies),1471286.879
48929,344,"China, Hong Kong SAR",7496.988
49813,446,"China, Macao SAR",649.342
50697,158,"China, Taiwan Province of China",23816.775
51581,170,Colombia,50882.884
52465,1566,Commonwealth of Independent States (CIS),290592.838
52616,2074,Commonwealth of Nations,2565385.55
52767,2075,Commonwealth: Africa,583993.867
52918,2076,Commonwealth: Asia,1825653.173
53069,2077,Commonwealth: Caribbean and Americas,44597.814
53220,2078,Commonwealth: Europe,69534.904
53371,2079,Commonwealth: Pacific,41605.792
